,From,To,Value
0,connection,access,85
1,connection,promotion,19
2,connection,homework,26
3,connection,wellbeing,20
4,connection,tuition,57
5,connection,effective,33
6,access,promotion,27
7,access,homework,29
8,access,wellbeing,28
9,access,tuition,59
10,access,effective,84
11,promotion,homework,42
12,promotion,wellbeing,18
13,promotion,tuition,42
14,promotion,effective,18
15,homework,wellbeing,48
16,homework,tuition,63
17,homework,effective,25
18,wellbeing,tuition,54
19,wellbeing,effective,22
20,tuition,effective,44
